"","n","p","spr","s","k","rho","amplitude","method","t.fdr","FDR","ntrials","Power","F1","Accuracy"
"1",5000,1000,0.2,0.1,100,0,5,"a",0.01,0,20,0,0,0.9
"2",5000,1000,0.2,0.1,100,0,5,"a",0.02,0.0121190555990739,20,0.7295,0.839253691838141,0.962042849960833
"3",5000,1000,0.2,0.1,100,0,5,"a",0.03,0.0314935636436644,20,0.8765,0.920209138286579,0.959305792720702
"4",5000,1000,0.2,0.1,100,0,5,"a",0.04,0.0414800329309377,20,0.9185,0.938083350415995,0.954517970362156
"5",5000,1000,0.2,0.1,100,0,5,"a",0.05,0.0506418909299438,20,0.9415,0.945412726002004,0.948572298163051
"6",5000,1000,0.2,0.1,100,0,5,"a",0.06,0.0694450679721752,20,0.954,0.942131630198018,0.932899438825042
"7",5000,1000,0.2,0.1,100,0,5,"a",0.07,0.0737320444397997,20,0.957,0.941383227866191,0.92934116000418
"8",5000,1000,0.2,0.1,100,0,5,"a",0.08,0.0839031768313183,20,0.96,0.937534715033055,0.920487140851813
"9",5000,1000,0.2,0.1,100,0,5,"a",0.09,0.0879927338729574,20,0.963,0.936810233375207,0.917106539514338
"10",5000,1000,0.2,0.1,100,0,5,"a",0.1,0.0958929012015323,20,0.967,0.934496550303862,0.910396388918621
"11",5000,1000,0.2,0.1,100,0,5,"a",0.11,0.10863763821795,20,0.973,0.930393785878546,0.899526125603845
"12",5000,1000,0.2,0.1,100,0,5,"a",0.12,0.117249067721036,20,0.9775,0.927712515908352,0.892225839051067
"13",5000,1000,0.2,0.1,100,0,5,"a",0.13,0.127434563063139,20,0.98,0.923167528821027,0.883308893243175
"14",5000,1000,0.2,0.1,100,0,5,"a",0.14,0.139427329752953,20,0.9805,0.916630306683119,0.872565403222342
"15",5000,1000,0.2,0.1,100,0,5,"a",0.15,0.148020771482133,20,0.9815,0.912164806433353,0.86493130566608
"16",5000,1000,0.2,0.1,100,0,5,"a",0.16,0.160033076080826,20,0.984,0.906296536738177,0.854370231527256
"17",5000,1000,0.2,0.1,100,0,5,"a",0.17,0.176774519539526,20,0.985,0.896876088757551,0.839402932414427
"18",5000,1000,0.2,0.1,100,0,5,"a",0.18,0.184494884386114,20,0.985,0.892274653277839,0.832454604052497
"19",5000,1000,0.2,0.1,100,0,5,"a",0.19,0.196442535269619,20,0.985,0.88507539552691,0.821701718257343
"20",5000,1000,0.2,0.1,100,0,5,"a",0.2,0.212280560122929,20,0.9855,0.875579739925106,0.807497495889364
"21",5000,1000,0.2,0.1,100,0,5,"james",0.01,0,20,0,0,0.9
"22",5000,1000,0.2,0.1,100,0,5,"james",0.02,0.0132203637164338,20,0.5785,0.729393018803226,0.94595167265521
"23",5000,1000,0.2,0.1,100,0,5,"james",0.03,0.0263050553095064,20,0.781,0.866766903391758,0.954425450221444
"24",5000,1000,0.2,0.1,100,0,5,"james",0.04,0.0358191050645689,20,0.8235,0.888305031651643,0.950112805441888
"25",5000,1000,0.2,0.1,100,0,5,"james",0.05,0.043839769725001,20,0.845,0.897149938136283,0.945044207247499
"26",5000,1000,0.2,0.1,100,0,5,"james",0.06,0.0548049816528974,20,0.8675,0.904682442569721,0.937425516512392
"27",5000,1000,0.2,0.1,100,0,5,"james",0.07,0.0617074981919326,20,0.8795,0.90794549380018,0.932413251627261
"28",5000,1000,0.2,0.1,100,0,5,"james",0.08,0.069262660710287,20,0.8845,0.907029795810477,0.926113605360742
"29",5000,1000,0.2,0.1,100,0,5,"james",0.09,0.0756621987146379,20,0.903,0.913544320019609,0.922204021156826
"30",5000,1000,0.2,0.1,100,0,5,"james",0.1,0.0819054042050171,20,0.907,0.912513576342418,0.916985136215485
"31",5000,1000,0.2,0.1,100,0,5,"james",0.11,0.0941968781325403,20,0.9185,0.912107376742961,0.907072809680714
"32",5000,1000,0.2,0.1,100,0,5,"james",0.12,0.10100122395076,20,0.922,0.910354122604843,0.901298898444316
"33",5000,1000,0.2,0.1,100,0,5,"james",0.13,0.108510026439504,20,0.9255,0.908176690610416,0.894890976204446
"34",5000,1000,0.2,0.1,100,0,5,"james",0.14,0.120580711594035,20,0.929,0.903529976888568,0.884377359565368
"35",5000,1000,0.2,0.1,100,0,5,"james",0.15,0.130481788955123,20,0.9335,0.900373878686453,0.875916389940389
"36",5000,1000,0.2,0.1,100,0,5,"james",0.16,0.142715483923896,20,0.937,0.895371480237684,0.865256064468493
"37",5000,1000,0.2,0.1,100,0,5,"james",0.17,0.155806913888353,20,0.941,0.889971734946971,0.853873777500483
"38",5000,1000,0.2,0.1,100,0,5,"james",0.18,0.166802657418755,20,0.943,0.884704728712513,0.84417760832312
"39",5000,1000,0.2,0.1,100,0,5,"james",0.19,0.173705563256088,20,0.9455,0.881887169007168,0.838214993069521
"40",5000,1000,0.2,0.1,100,0,5,"james",0.2,0.187907699385194,20,0.9485,0.875011831943332,0.825733070553326
"41",5000,1000,0.2,0.1,100,0,5,"k",0.01,0.00440738248582139,20,0.0975,0.177606688861154,0.905783355762761
"42",5000,1000,0.2,0.1,100,0,5,"k",0.02,0.0161701477123509,20,0.928,0.955099745754542,0.978246867058884
"43",5000,1000,0.2,0.1,100,0,5,"k",0.03,0.0284839293646286,20,0.956,0.963695584879106,0.969964463571834
"44",5000,1000,0.2,0.1,100,0,5,"k",0.04,0.0393580665004364,20,0.972,0.966287591277483,0.961777740149607
"45",5000,1000,0.2,0.1,100,0,5,"k",0.05,0.0458049506165112,20,0.9745,0.964240641278612,0.95622554444514
"46",5000,1000,0.2,0.1,100,0,5,"k",0.06,0.0520220364937808,20,0.978,0.962754990842437,0.950980167155597
"47",5000,1000,0.2,0.1,100,0,5,"k",0.07,0.0659401836639562,20,0.9805,0.956716674091881,0.938703834702439
"48",5000,1000,0.2,0.1,100,0,5,"k",0.08,0.0768994361708491,20,0.9825,0.951874512610035,0.929040507446236
"49",5000,1000,0.2,0.1,100,0,5,"k",0.09,0.0855767889319336,20,0.9845,0.948168568427954,0.92143088996126
"50",5000,1000,0.2,0.1,100,0,5,"k",0.1,0.096888622689685,20,0.986,0.942737234790046,0.911400239579284
"51",5000,1000,0.2,0.1,100,0,5,"k",0.11,0.105720261117857,20,0.9865,0.93812895169913,0.903501764993928
"52",5000,1000,0.2,0.1,100,0,5,"k",0.12,0.117564086311708,20,0.989,0.932683948463632,0.893092322319463
"53",5000,1000,0.2,0.1,100,0,5,"k",0.13,0.123560391182553,20,0.989,0.929323864491054,0.887695647935702
"54",5000,1000,0.2,0.1,100,0,5,"k",0.14,0.135118892877023,20,0.9905,0.923438029326153,0.877442996410679
"55",5000,1000,0.2,0.1,100,0,5,"k",0.15,0.147396845735638,20,0.9915,0.916820759726252,0.866492838837926
"56",5000,1000,0.2,0.1,100,0,5,"k",0.16,0.152791040627433,20,0.9915,0.91369292452302,0.86163806343531
"57",5000,1000,0.2,0.1,100,0,5,"k",0.17,0.163188003707293,20,0.9915,0.907612153731541,0.852280796663436
"58",5000,1000,0.2,0.1,100,0,5,"k",0.18,0.173026891393216,20,0.9915,0.901793744766259,0.843425797746105
"59",5000,1000,0.2,0.1,100,0,5,"k",0.19,0.181461864516354,20,0.9915,0.896755206889803,0.835834321935281
"60",5000,1000,0.2,0.1,100,0,5,"k",0.2,0.190334193481545,20,0.9925,0.891808411926317,0.827949225866609
"61",5000,1000,0.2,0.1,100,0,5,"kadapt",0.01,0,20,0,0,0.9
"62",5000,1000,0.2,0.1,100,0,5,"kadapt",0.02,0.00183655478646989,20,0.7565,0.860690006808849,0.973997100692177
"63",5000,1000,0.2,0.1,100,0,5,"kadapt",0.03,0.00992251571754678,20,0.819,0.896449673021,0.972969735854208
"64",5000,1000,0.2,0.1,100,0,5,"kadapt",0.04,0.017712551916876,20,0.835,0.90267505012987,0.967558703274812
